[2018-07-10] | [16:43:46:506] | [info] | sending to window
[2018-07-10] | [16:43:47:501] | [info] | sending to window
[2018-07-10] | [16:44:03:889] | [info] | sending to window
[2018-07-10] | [16:44:04:312] | [info] | sending to window
[2018-07-10] | [16:56:59:110] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:57:55:408] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:01:608] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:08:577] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:01:195] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-11]  [15:47:50:108]  | [info] |  App starting...
[2018-07-11]  [15:47:50:112]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:49:16:020]  | [info] |  App starting...
[2018-07-11]  [15:49:16:026]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:53:15:332]  | [info] |  App starting...
[2018-07-11]  [15:53:15:338]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:53:17:550]  | [info] |  sending to window
[2018-07-11]  [15:54:40:116]  | [info] |  App starting...
[2018-07-11]  [15:54:40:121]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:54:41:951]  | [info] |  sending to window
[2018-07-11]  [15:54:54:309]  | [info] |  sending to window
[2018-07-11]  [15:55:23:385]  | [info] |  App starting...
[2018-07-11]  [15:55:23:389]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [15:55:25:247]  | [info] |  sending to window
[2018-07-11]  [16:16:28:817]  | [info] |  App starting...
[2018-07-11]  [16:16:28:822]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:16:31:995]  | [info] |  sending to window
[2018-07-11]  [16:18:42:752]  | [info] |  App starting...
[2018-07-11]  [16:18:42:757]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:18:45:976]  | [info] |  sending to window
[2018-07-11]  [16:21:31:353]  | [info] |  App starting...
[2018-07-11]  [16:21:31:360]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:21:34:265]  | [info] |  sending to window
[2018-07-11]  [16:23:54:271]  | [info] |  App starting...
[2018-07-11]  [16:23:54:277]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:23:57:017]  | [info] |  sending to window
[2018-07-11]  [16:39:18:800]  | [info] |  App starting...
[2018-07-11]  [16:39:18:815]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:39:23:224]  | [info] |  sending to window
[2018-07-11]  [16:49:58:397]  | [info] |  App starting...
[2018-07-11]  [16:49:58:403]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:50:01:351]  | [info] |  sending to window
[2018-07-11]  [16:50:55:754]  | [info] |  App starting...
[2018-07-11]  [16:50:55:761]  | [info] |  DEV ENVIRONMENT = true, true
